,corrs,x_coord,y_coord,offset,label
431,-0.13268040160584121,[5],[61],[-224],Dorsal
432,-0.13641652938619406,[5],[62],[-228],Dorsal
433,-0.15845878600413377,[5],[63],[-232],Dorsal
434,-0.15511477747140318,[5],[64],[-236],Dorsal
435,-0.15725735241346922,[5],[65],[-240],Dorsal
436,-0.180896274384669,[5],[66],[-244],Dorsal
437,-0.1968377630291995,[5],[67],[-248],Dorsal
438,-0.20714700906150035,[5],[68],[-252],Dorsal
439,-0.2503135116629107,[5],[69],[-256],Dorsal
440,-0.3123408755769561,[5],[70],[-260],Dorsal
441,-0.3129848646216098,[5],[71],[-264],Dorsal
442,-0.26038915414368796,[5],[72],[-268],Dorsal
443,-0.18399596585686234,[5],[73],[-272],Dorsal
444,0.10257088230560447,[6],[0],[24],Ventral
445,0.1098935655582284,[6],[1],[20],Ventral
446,0.14185170782428205,[6],[2],[16],Ventral
447,0.2071388056562767,[6],[3],[12],Ventral
448,0.3357305257983069,[6],[4],[8],Ventral
449,0.47380951127435866,[6],[5],[4],Ventral
450,0.5532017433706061,[6],[6],[0],Same
451,0.536295791927436,[6],[7],[-4],Dorsal
452,0.44584739276206004,[6],[8],[-8],Dorsal
453,0.3201358030842154,[6],[9],[-12],Dorsal
454,0.21679192112327403,[6],[10],[-16],Dorsal
455,0.13515103265787892,[6],[11],[-20],Dorsal
456,0.12096771567083534,[6],[12],[-24],Dorsal
457,0.1334006801716186,[6],[13],[-28],Dorsal
458,0.08452143175684719,[6],[14],[-32],Dorsal
459,0.03647225918835072,[6],[15],[-36],Dorsal
460,-0.03601000779923314,[6],[16],[-40],Dorsal
461,-0.04696877472915642,[6],[17],[-44],Dorsal
462,-0.05789468732735763,[6],[18],[-48],Dorsal
463,-0.11149905020285948,[6],[19],[-52],Dorsal
464,-0.11910468020685504,[6],[20],[-56],Dorsal
465,-0.09209329240050124,[6],[21],[-60],Dorsal
466,-0.05364707074463401,[6],[22],[-64],Dorsal
467,-0.045284094107723286,[6],[23],[-68],Dorsal
468,-0.0709841268102407,[6],[24],[-72],Dorsal
469,-0.08109954214448961,[6],[25],[-76],Dorsal
470,-0.07468473497157864,[6],[26],[-80],Dorsal
471,-0.05548671939961873,[6],[27],[-84],Dorsal
472,-0.0022676853564519554,[6],[28],[-88],Dorsal
473,-0.00016265274587294837,[6],[29],[-92],Dorsal
474,-0.015407313005147113,[6],[30],[-96],Dorsal
475,-0.013862714488562324,[6],[31],[-100],Dorsal
476,-0.02195779144549765,[6],[32],[-104],Dorsal
477,-0.03774259997411634,[6],[33],[-108],Dorsal
478,-0.017630005842654502,[6],[34],[-112],Dorsal
479,0.026859428202754394,[6],[35],[-116],Dorsal
480,0.07533003266857917,[6],[36],[-120],Dorsal
481,0.1021113788236776,[6],[37],[-124],Dorsal
482,0.08942819604547031,[6],[38],[-128],Dorsal
483,0.06414424713549165,[6],[39],[-132],Dorsal
484,0.031104869367560566,[6],[40],[-136],Dorsal
485,-0.0062969675486768024,[6],[41],[-140],Dorsal
486,-0.051433717025763034,[6],[42],[-144],Dorsal
487,-0.08835543936547556,[6],[43],[-148],Dorsal
488,-0.14289742530060162,[6],[44],[-152],Dorsal
489,-0.19689408287984667,[6],[45],[-156],Dorsal
490,-0.26368360938842617,[6],[46],[-160],Dorsal
491,-0.33822151678739193,[6],[47],[-164],Dorsal
492,-0.4023096010472395,[6],[48],[-168],Dorsal
493,-0.4309971819553929,[6],[49],[-172],Dorsal
494,-0.43477470779478083,[6],[50],[-176],Dorsal
495,-0.4128088551529162,[6],[51],[-180],Dorsal
496,-0.38511726883007724,[6],[52],[-184],Dorsal
497,-0.3667456224831388,[6],[53],[-188],Dorsal
498,-0.337014169391367,[6],[54],[-192],Dorsal
499,-0.30622073700891156,[6],[55],[-196],Dorsal
500,-0.28033916325609537,[6],[56],[-200],Dorsal
501,-0.2523860560601982,[6],[57],[-204],Dorsal
502,-0.21024135044188422,[6],[58],[-208],Dorsal
